stopName,lat,lon
Mutiara Pulo Dukuh,-6.302629,106.87781
Jln. Warakas I Gg. 8,-6.117623,106.87674
Bundaran HI,-6.193021,106.823
Sekolah Cita Buana,-6.316189,106.81425
Polres Metro Jakpus,-6.159496,106.8514
Bidara Cina 1,-6.229954,106.86735
Komplek Kodam Jaya Kb. Jeruk,-6.197819,106.77097
Masjid Jami Al-Baidlo,-6.295729,106.89896
Pulo Mas Bypass,-6.176953,106.876
Tanah Merdeka Arah Timur,-6.307866,106.87389
BKN 1,-6.258026,106.86955
Centro Metro Broadway,-6.116362,106.76143
Sbr. Masjid Jami Al Muttaqin Balekambang,-6.283996,106.85052
Child Care Pre School,-6.257557,106.8009
Flyover Klender,-6.213596,106.90306
Jln.Tebet Barat V,-6.233937,106.8477
Tipar Cakung,-6.183387,106.92463
Perumnas Klender,-6.216689,106.93054
Puskesmas Cengkareng,-6.144546,106.72866
Gandaria City,-6.243912,106.7824
Kota,-6.13679,106.8149
RS Medistra,-6.240411,106.83412
Sawah Besar Arah Selatan,-6.157368,106.818661
Sbr. Jembatan Sukamulya III,-6.170489,106.85205
Pool Taksi Tanah Kusir,-6.254506,106.77741
Gg. Ali,-6.307683,106.87636
St. Lenteng Agung 2,-6.331342,106.83467
Sbr. Kalibata Square,-6.255574,106.85167
Lakesgilut TNI AU 2,-6.287858,106.89803
Kel. Srengseng,-6.203472,106.75694
Sbr. Taman BMW,-6.12629,106.85763
Sbr. SDN Dukuh 01,-6.287962,106.87417
Pasar Jatinegara,-6.215744,106.86632
Masjid At Taqwa Karang Tengah,-6.151522,106.97204
Pal Batu 3,-6.225075,106.84149
Pulo Gadung,-6.183245,106.90868
Sbr. Sekolah Bhineka Tunggal Ika,-6.15058,106.80752
JIS,-6.126689,106.85587
Univ. Borobudur 2,-6.241463,106.89608
Bengkel Jln. Letjen Suprapto,-6.174721,106.85362
Yayasan Muhammadiyah 1,-6.197045,106.81442
Pool Express Tanah Kusir,-6.255345,106.76911
Jln. Galur Sari Barat 2,-6.200101,106.864719
Kuningan Timur,-6.234731,106.82902
Masjid Jami Al Hidayah Tomang,-6.171444,106.79616
Mess Wirayudha 2,-6.242076,106.88072
Sbr. Jln. Komplek Yuka,-6.12603,106.91702
Ancol,-6.127563,106.83039
RSAU Dr Esnawan Antariska 2,-6.256569,106.89139
Simpang Persahabatan Raya,-6.206364,106.88575
Adam Malik,-6.236466,106.74786
Boulevard Inspeksi Kali Sunter,-6.151094,106.88901
Sbr. Polsek Jagakarsa,-6.350808,106.80775
Masjid Jami Asy Syakirin,-6.351203,106.80153
Senayan JCC Arah Barat,-6.213906,106.80841
Bulak Kapal 1,-6.250708,107.02395
Gg. VIII Muara Baru,-6.122869,106.80402
Sunter Muara,-6.144072,106.85763
SMK Nurul Huda,-6.17684,106.93592
Jln. Gorontalo II,-6.11345,106.88277
Jln. Industri I,-6.147508,106.83679
Balai Sudirman,-6.227043,106.84742
Rusun Benhil,-6.201418,106.80789
Sbr. TDP,-6.245574,106.90948
Ps. Enjo 2,-6.214775,106.87785
St. Jayakarta 2,-6.140453,106.82291
Bermis 2,-6.178353,106.89841
Masjid Raya Al Musyawarah Kelapa Gading 2,-6.155338,106.90963
Sekolah Tarsisius 2,-6.199502,106.7824
